,,*Liq. y B° en Bruto (antes de retenciones),,,,Fecha,14-07-2026,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proyectos,Fase,SL,Provincia,Municipio,Tipo Activo,Tipología,Canal,Partner,Formato de inversión,Contrato,Inv. Total. Est.,Invertido,FC Inicial,FC Final,B° Realizado,Est. B°,Fecha inicio,Fecha Fin,Est. Fin0,Retraso,Est. Fin1,% Ejecución,Est. TIR,Est. ROI,Meses,TIR,ROI,Link,Estado,Comentarios
Edificio Bétera 11 viv.,FASE 2,Inmoyield 3,Valencia,Bétera,Edificio,Flipping,Directo,J.Pascual & N.Blat,Deuda,Préstamo a tipo fijo,100.000 €,100.000 €,-100.000 €,,,12.500 €,19/06/2026,,2026-12,"-4,7",2026-12,"15,15%","25,00%","25,00%",6,,,ver,Invertido,Co-inversión en tramo 2
Génova 23,FASE 1,Inmoyield 1,Madrid,Madrid,Vivienda,Flipping,Plataforma,Velzia,Deuda,Préstamo Participativo,,250.000 €,-250.000 €,,27.525 €,0 €,03/02/2025,,2025-08,"11,6",2028-06,"43,33%","23,16%","11,01%",6,"23,16%","11,01%",,Invertido,
3 C. Siliceo,Descarte,,,Madrid,Vivienda,Flipping,Plataforma,Velzia,Deuda,Préstamo participativo,,400.000 €,,,,24.900 €,,,4,"1.540,4",,,"20,00%","6,23%",,,,ver,En Estudio,
4 Campolivar (12 adosados),Descarte,,,Valencia,Vivienda,Obra nueva,Plataforma,SodaCrowd,Deuda,Préstamo Tipo Fijo,,600.000 €,-600.000 €,,,81.000 €,,,12,"1.540,2",,,"13,50%","13,50%",,,,ver,En Estudio,Max. 600K. 40% preventas. G.R hasta abril. 
Edif. Pantoja (Fase II),FASE 2,Inmoyield 3,Toledo,Pantoja,Edificio,NPL,Directo,Sultan,Deuda,Préstamo a tipo fijo,100.000 €,100.000 €,-100.000 €,,,6.250 €,22/06/2026,,2026-09,"-1,6",2026-09,"30,99%","25,00%","6,25%",,,,ver,Invertido,tramo 1: 22.06  /  tramo 2: 14/07
9 Esquivias 18 viv,CACI 02.02,,,Toledo,Edificio,WIP,Directo,Sultan,Equity,Directo,,1.800.000 €,-1.800.000 €,,,553.280 €,,,12,"1.540,2",,,"31,00%","31,00%",,,,,En Estudio,
9.2 Esquivias 7 viv,CACI 02.02,,,Toledo,Edificio,WIP,Directo,Sultan,Equity,Directo,,835.000 €,-835.000 €,,,219.104 €,,,12,"1.540,2",,,"26,00%","26,00%",,,,ver,En Estudio,Aprobado CACI. Pendiente Firma Contrato.
Albal,FASE 1,Inmoyield 1,Valencia,Albal,WIP,WIP,Directo,J.Pascual & N.Blat,Deuda,Préstamo participativo,,700.000 €,-700.000 €,,,175.000 €,25/07/2025,,2026-07,"0,4",2026-10,"81,76%","25,00%","25,00%",11,"42,86%","25,00%",ver,Invertido,"01.06 Oferta vinculante por la compra del activo por 1,55M€. 60 días max. para compeltar DD"
Joselito 23,FASE 1,Inmoyield 1,Madrid,Madrid,Vivienda,Flipping,Plataforma,Velzia,Deuda,Préstamo Participativo,,120.000 €,-120.000 €,,38.676 €,0 €,02/08/2024,,2025-05,"14,6",2028-06,"50,82%","39,83%","32,23%",9,"39,83%","32,23%",,Invertido,
Alcántara 62 (Mad-7),FASE 1,Inmoyield 1,Madrid,Madrid,Vivienda,Flipping,Plataforma,Domoblock,Deuda,Préstamo participativo,,90.000 €,-90.000 €,,,7.587 €,02/12/2025,,2026-08,"-0,6",2026-09,"82,05%","14,06%","8,43%",8,"14,00%","9,13%",,Invertido,13.06 Recibiendo bastantes visitas sin tocar el precio.
María de Molina 22,FASE 1,Inmoyield 1,Madrid,Madrid,Vivienda,Flipping,Plataforma,Velzia,Deuda,Préstamo Participativo,,115.000 €,-115.000 €,,13.041 €,0 €,02/08/2024,,2025-03,"16,7",2028-06,"50,82%","20,27%","11,34%",7,"20,27%","11,34%",,Invertido,
Cartera NPLs - Tuscany,FASE 1,Inmoyield 1,Madrid,Madrid,Edificio,NPL,Plataforma,Napala,Deuda,Préstamo a tipo fijo,,500.000 €,-500.000 €,,"56.666,66 €",18.958 €,03/01/2025,,2027-02,"-6,7",2027-02,"73,39%","15,00%","30,00%",25,"15,00%","30,00%",ver,Invertido,"Intereses cobrados: 56.666,66 €"
Castelló 120,FASE 1,Inmoyield 1,Valencia,Valencia,Vivienda,Flipping,Plataforma,Domoblock,Deuda,Préstamo Participativo,,500.000 €,-500.000 €,,56.150 €,56.150 €,09/05/2025,,2026-01,"6,5",2026-09,"89,79%","17,21%","11,23%",8,"17,21%","11,23%",ver,Invertido,13.07 Oferta de compra recibida. Se ha hecho contraoferta a ver si la aceptan.
Arras Almoradí,,,,Almoradí,Edificio,Arras,Directo,PropHero,Deuda,Arras,,500.000 €,,,,71.866 €,,,10,"1.540,2",,,"20,00%","14,00%",,,,ver,En Estudio,
Boiro,CACI,,,Coruña,Edificio,NPL,Directo,Manu Gil,Equity,En propiedad,,1.600.000 €,-1.600.000 €,,,335.000 €,,,7,"1.540,3",,,"36,10%","21,05%",,,,,En Estudio,"Venta crédito bloqueada. Solicitados certificados de deuda para cancelación notarial con Sareb, Estado y Xunta."
Downtown (Tarragona),FASE 1,Inmoyield 1,Tarragona,Tarragona,Edificio,Flipping,Directo,Walmaria,Cuenta en participación,Cuenta en participación,,500.000 €,-500.000 €,,1.548 €,455.479 €,25/06/2025,,2026-06,"0,6",2027-02,"65,53%","75,00%","75,00%",12,"75,00%","91,10%",ver,Invertido,"Ingresos alq: 1.548,23"
Edif. Pantoja (Fase II),FASE 1,Inmoyield 1,Toledo,Pantoja,Edificio,NPL,Directo,Sultan,Deuda,Préstamo a tipo fijo,,100.000 €,-100.000 €,,,10.000 €,12/12/2025,,2026-05,"2,5",2026-09,"81,37%","20,00%","10,00%",5,"20,00%","10,00%",ver,Invertido,15.06 Subsanaciones para LPO. Una vez obtenida. 60 días max para escrituras de PH.
Edificio Bétera 11 viv.,FASE 1,Inmoyield 1,Valencia,Bétera,Edificio,Flipping,Directo,J.Pascual & N.Blat,Deuda,Préstamo a tipo fijo,400.000 €,300.000 €,-300.000 €,,,75.000 €,16/12/2025,,2026-12,"-4,7",2026-12,"60,00%","25,00%","25,00%",12,,,ver,Invertido,Pago aplazado (100K) retrasado hasta máximo 22 de junio
San Lucas 5,FASE 1,Inmoyield 1,Madrid,Madrid,Edificio,Flipping,Plataforma,Velzia,Deuda,Préstamo Participativo,,583.360 €,-583.360 €,,120.000 €,0 €,22/10/2024,,2026-04,"3,5",2028-06,"47,80%","15,82%","23,72%",18,"15,82%","23,72%",,Invertido,"Cambiado por deuda Napala. Mantenemos 63.186,78 € en esta co-inversión."
"Jerónimo Zurita, 3",FASE 1,Inmoyield 1,Zaragoza,Zaragoza,Vivienda,Flipping,Plataforma,Domoblock,Deuda,Préstamo Participativo,,107.225 €,-107.225 €,,,7.300 €,20/11/2025,,2026-05,"2,5",2026-09,"82,81%","12,00%","6,81%",5,"12,00%",,ver,Invertido,"10.06 Se ha ajustado el precio y se ha incrementado el numero de visitas de forma inmediata, la semana pasada se pasaron 3 visitas que les ha gustado y estamos pendiente de recibir alguna oferta de esas visitas."
Loeches 29 viviendas,FASE 1,Inmoyield 1,Madrid,Loeches,Vivienda,Obra nueva,Directo,Sagelliv,Deuda,Préstamo Participativo,,525.000 €,-525.000 €,,6.353 €,69.562 €,09/12/2025,,2026-08,"-0,6",2026-09,"81,58%","18,00%","13,25%",8,,,ver,Invertido,Todo vendido. Obra al 80%
Doctor Castelo,FASE 1,,Madrid,Madrid,Oficina,Flipping,Directo,Casas Unique,Cuenta en participación,Cuenta en participación,,487.027 €,-487.027 €,602.849 €,115.822 €,73.054 €,18/02/2025,27/10/2025,2025-07-,"12,6",,"-1,12%","35,00%","15,00%",8,"36,38%","23,78%",,Pasada,
Modesto Lafuente 10,FASE 1,Inmoyield 1,Madrid,Madrid,Vivienda,Flipping,Plataforma,Domoblock,Deuda,Préstamo Participativo,,300.000 €,-300.000 €,,,28.980 €,20/05/2025,,2026-01,"6,5",2026-09,"89,55%","15,00%","9,66%",8,"15,00%","9,66%",ver,Invertido,"Clausula activada para tipo fijo del 14 desde Mayo. Se ha bajado el precio de forma agresiva, y una de las visitas que recibimos la semana pasada está muy interesada, estamos negociando, el interesado quiere vender su piso actual y estamos valorando opciones con el, para ayudarle a encajar de alguna manera de la operación y que salgamos todos beneficiados."
Edif. 4 viv. Toledo,CACI,,,Toledo,Edificio,Flipping,Directo,Sultan,Cuenta en participación,Cuenta en participación,,400.000 €,,,,,,,6,"1.540,4",,,"40,00%","19,00%",,,,,En Estudio,
Edif. Mejorada,CACI,,,Toledo,Edificio,Flipping,Directo,Sultan,Cuenta en participación,Cuenta en participación,,1.000.000 €,,,,,,,6,"1.540,4",,,"80,00%","40,00%",,,,,En Estudio,
Edif. Pantoja (Fase I),FASE 1,,Toledo,Toledo,Edificio,NPL,Directo,Sultan,Deuda,Préstamo a tipo fijo,,150.000 €,-150.000 €,184.303 €,34.303 €,37.500 €,19/03/2025,07/11/2025,2026-06,"1,4",,"-1,05%","25,00%","25,00%",8,"38,07%","22,87%",ver,Pasada,
Onda,FASE 1,Inmoyield 1,Castellón,Onda,WIP,WIP,Directo,Vibex,Deuda,Préstamo a tipo fijo,,1.000.000 €,-1.000.000 €,,140.000 €,218.000 €,27/05/2025,,2026-03,"4,5",2026-07,"103,25%","16,00%","15,00%",9,"16,00%","15,00%",ver,Invertido,"29.06 ya presentado CFO tanto del edificio como de la piscina por DR, esperamos que nos lo acepete el banco para poder quitar las cargas de las viviendas que van al contado"
Promoción Salou (24viv.),FASE 1,Inmoyield 1,Tarragona,Salou,Edificio,Obra nueva,Directo,Walmaria,Deuda,Préstamo participativo,,300.000 €,-300.000 €,,,105.000 €,02/02/2026,,2027-06,"-11,6",2027-06,"31,76%","18,00%","35,00%",17,"18,00%","35,00%",ver,Invertido,"11.983,56 € de intereses demora (clausula 1)"
Edificio Castellón,FASE 1,,Castellón,Castellón,WIP,WIP,Directo,Artal-Pro,Equity,En propiedad,,825.329 €,-825.329 €,1.256.079 €,430.750 €,431.463 €,01/12/2024,30/06/2025,6,"1.540,4",,"-1,29%","99,40%","49,70%",7,"106,78%","52,19%",ver,Pasada,
Trinidad 67,FASE 1,Inmoyield 1,Málaga,Málaga,Vivienda,Flipping,Directo,Re4M,Deuda,Préstamo Participativo,85.000 €,85.000 €,-85.000 €,,,17.850 €,04/12/2025,,2026-08,"-0,6",2026-10,"73,75%","36,00%","21,00%",8,"36,00%","21,00%",ver,Invertido,"15.06 Se ha tramitado la licencia para uso turístico, lo que elevará el valor del activo. Obra iniciada: Duración estimada 4 meses."
Promoción Salou (24viv.),FASE 2,Inmoyield 3,Tarragona,Salou,Edificio,Obra nueva,Directo,Walmaria,Deuda,Préstamo participativo,,450.000 €,-450.000 €,,,157.500 €,02/02/2026,,2027-06,"-11,6",2027-06,"31,76%","18,00%","35,00%",23,"18,00%","35,00%",ver,Invertido,"17.975,34 € de intereses demora (clausula 1)"
Guillem de Castro 8,FASE 1,,Valencia,Valencia,Vivienda,Flipping,Plataforma,Domoblock,Deuda,Préstamo Participativo,,150.000 €,-150.000 €,164.070 €,14.070 €,12.690 €,26/08/2024,01/05/2025,7,"1.540,3",,"-1,51%","14,91%","8,46%",8,"14,11%","9,38%",ver,Pasada,Reinvertida en Modesto Lafuente
GV Fernando el Católico,FASE 1,,Valencia,Valencia,Vivienda,Flipping,Plataforma,Domoblock,Deuda,Préstamo Participativo,,150.000 €,-150.000 €,168.900 €,18.900 €,20.625 €,24/02/2025,30/12/2025,2025-10,"9,5",,"-1,10%","16,50%","13,75%",10,"15,56%","12,60%",ver,Pasada,"11.12 Liquidación portal 21 por 82.994,70 €"
GV M del Turia,FASE 1,,Valencia,Valencia,Vivienda,Flipping,Plataforma,Domoblock,Deuda,Préstamo Participativo,,51.477 €,-51.477 €,56.249 €,4.772 €,5.148 €,15/01/2025,30/09/2025,2025-09-,"10,5",,"-1,19%","15,00%","10,00%",8,"13,36%","9,27%",ver,Pasada,Cobrado el 5 de Diciembre por error.
Xátiva - 29 Apartamentos,FASE 1,Inmoyield 1,Valencia,Xátiva,Vivienda,Flipping,Plataforma,Domoblock,Deuda,Préstamo Participativo,,100.000 €,-100.000 €,,,14.870 €,22/12/2025,,2026-12,"-4,7",2026-12,"59,30%","14,78%","14,78%",11,,,ver,Invertido,
Agustina de Aragón 6,FASE 1,,Madrid,Madrid,Vivienda,Flipping,Plataforma,Velzia,Deuda,Préstamo participativo,,150.000 €,-150.000 €,151.153 €,1.153 €,21.981 €,28/02/2025,14/03/2025,5,"1.540,4",,"-1,10%","19,17%","8,00%",0,"22,09%","0,77%",ver,Pasada,Reinvertido en San Lucas
Alcántara 4,FASE 1,,Madrid,Madrid,Vivienda,Flipping,Plataforma,Velzia,Deuda,Préstamo Participativo,,250.909 €,-250.909 €,256.836 €,5.927 €,27.475 €,30/12/2024,28/11/2025,2025-06-,"13,6",,"-1,23%","23,00%","10,00%",11,"2,59%","2,31%",,Pasada,
Almagro 38,FASE 1,,Madrid,Madrid,Vivienda,Flipping,Plataforma,Velzia,Deuda,Préstamo Participativo,,250.000 €,-250.000 €,279.453 €,29.453 €,40.175 €,22/10/2024,31/10/2025,2025-06-,"13,6",,"-1,38%","19,58%","16,07%",12,"11,48%","11,78%",,Pasada,
Santa Anna - Reus (8 viv),FASE 2,Inmoyield 3,Tarragona,Reus,Edificio,Flipping,Directo,Walmaria,Equity,Cuenta en participación,,600.000 €,-600.000 €,,,204.360 €,20/02/2026,,2026-11,"-3,7",2027-02,"41,62%","45,41%","34,06%",10,"45,00%","34,00%",ver,Invertido,
O Donell 18,FASE 2,Inmoyield 3,Madrid,Madrid,Vivienda,Flipping,Plataforma,Velzia,Deuda,Préstamo Participativo,,500.000 €,-500.000 €,,,0 €,5/11/2025,,2026-05,"2,3",2028-06,"26,73%","15,70%","7,61%",6,,,,Invertido,
Lote 4 viv. Cambrils,,,,Tarragona,Vivienda,Flipping,Directo,Klein K,Equity,Cuenta en participación,,335.000 €,-335.000 €,,,97.000 €,,,7,"1.540,3",,,"52,00%","29,00%",,,,,En Estudio,. revisar situación de cada vivienda
Lote AM Inv. (Okupado),Descarte,,,Madrid,Vivienda,Reposicionamiento,Directo,AM Invest,Equity,En propiedad,,1.200.000 €,-1.200.000 €,,,377.875 €,,,8,"1.540,3",,,"45,00%","30,00%",,,,,En Estudio,
Magán (48 viv.),,,,Toledo,Edificio,WIP,Directo,Sultan,Equity,Equity,,3.400.000 €,,,,880.000 €,,,14,"1.540,1",,,"26,00%","25,88%",,,,ver,En Estudio,
Arapiles 19,FASE 1,,Madrid,Madrid,Vivienda,Flipping,Plataforma,Velzia,Deuda,Préstamo Participativo,,250.000 €,-250.000 €,260.252 €,10.252 €,24.400 €,03/01/2025,08/05/2025,1900-01-,"1.540,4",,"-1,22%","19,52%","9,76%",4,"12,45%","4,10%",ver,Pasada,Recibido en Caixa (Inm1)
Castelló 63,FASE 1,,Madrid,Madrid,Vivienda,Flipping,Plataforma,Velzia,Deuda,Préstamo participativo,,350.000 €,-350.000 €,369.212 €,19.212 €,34.791 €,28/02/2025,19/06/2025,6,"1.540,4",,"-1,10%","19,25%","9,94%",4,"19,21%","5,49%",ver,Pasada,Recibido en Caixa (Inm1)
Marte 17,,,,Madrid,Edificio,Obra nueva,Plataforma,Velzia,Deuda,Préstamo Participativo,,,,,,,,,23,"1.539,8",,,"17,90%","35,00%",,,,,En Estudio,. Obra nueva en el casco antiguo de Barajas
Matías Perelló,FASE 1,,Valencia,Valencia,Vivienda,Flipping,Plataforma,Domoblock,Deuda,Préstamo Participativo,,100.000 €,-100.000 €,108.920 €,8.920 €,8.410 €,25/03/2025,13/11/2025,2025-11-,"8,5",,"-1,04%","13,06%","8,41%",8,"14,32%","8,92%",,Pasada,reinvertido en Zgz 6
Jorge Juan 104,FASE 1,,Madrid,Madrid,Vivienda,Flipping,Plataforma,Velzia,Deuda,Préstamo participativo,,180.000 €,-180.000 €,182.814 €,2.814 €,14.454 €,29/01/2025,27/02/2025,5,"1.540,4",,"-1,16%","19,30%","8,03%",1,"21,56%","1,56%",ver,Pasada,Reinvertido en San Lucas
C. Peñalver 94,FASE 2,Inmoyield 3,Madrid,Madrid,Vivienda,Flipping,Directo,Casas Unique,Deuda,Cuenta en participación,760.000 €,760.000 €,-760.000 €,,,106.400 €,31/03/2026,,2026-12,"-4,7",2026-12,"42,86%","18,00%","14,00%",9,,,ver,Invertido,13.07 Informe Actualización
Nave Illescas,,,,Toledo,Edificio,Mixto,Directo,Sultan,Equity,Equity,,2.000.000 €,,,,,,,24,"1.539,8",,,"40,00%","80,00%",,,,,En Estudio,Bajo alquilado a día. Planta superior espacio para hasta 5 estudios.
Nave Simancas,,,,Madrid,Planta Edificio,Cambio de uso,Directo,,Equity,Equity,,2.600.000 €,,,,,,,12,"1.540,2",,,"25,00%","25,00%",,,,,En Estudio,
Jorge Juan 88,FASE 1,,Madrid,Madrid,Vivienda,Flipping,Plataforma,Velzia,Deuda,Préstamo participativo,,200.000 €,-200.000 €,206.827 €,6.827 €,19.260 €,28/02/2025,14/04/2025,6,"1.540,4",,"-1,10%","19,25%","9,63%",2,"31,29%","3,41%",ver,Pasada,Recibido en Caixa (Inm1)
Carlet (15 viv.),FASE 2,Inmoyield Fase 2 Desarrollo,Valencia,Carlet,Edificio,WIP,Directo,PropHero,Equity,Equity,1.620.000 €,1.294.004 €,-1.294.004 €,,,280.799 €,27/03/2026,,2027-06,"-10,7",2027-06,"25,29%","23,62%","21,70%",14,"25,00%","20,00%",ver,Invertido,inversión total estimada 1.620.202€
P. San Juan (6 Villas),,,,Madrid,Villas,Obra nueva,Directo,Sonora,Deuda,Préstamo tipo Fijo,,500.000 €,,,,81.250 €,,,12,"1.540,2",,,"16,25%","16,25%",,,,ver,En Estudio,
Máiquez 52,FASE 1,,Madrid,Madrid,Vivienda,Flipping,Plataforma,Velzia,Deuda,Préstamo participativo,,100.000 €,-100.000 €,104.439 €,4.439 €,7.830 €,28/02/2025,22/09/2025,2025-07-,"12,6",,"-1,10%","18,80%","7,83%",7,"8,00%","4,44%",,Pasada,15.09 Reservado. Se liquidará durante las próximas semanas.
Mayor 27,FASE 1,,Madrid,Madrid,Vivienda,Flipping,Plataforma,Velzia,Deuda,Préstamo Participativo,,250.000 €,-250.000 €,257.765 €,7.765 €,24.475 €,07/11/2024,06/08/2025,6,"1.540,4",,"-1,35%","19,59%","9,79%",9,"4,19%","3,11%",,Pasada,Recibido en Caixa (Inm1)
PDL - Pardiñas 102,,,,Madrid,PDL,PDL,Plataforma,Velzia,Deuda,PDL,,500.000 €,,,,,,,3,"1.540,5",,,"12,00%","3,00%",,,,,En Estudio,. con vencimiento máximo para el 14 de noviembre
PDL - Espronceda,FASE 1,,Madrid,Madrid,Vivienda,PDL,Plataforma,Velzia,Deuda,PDL,,800.000 €,-800.000 €,806.667 €,6.667 €,6.667 €,03/02/2025,28/02/2025,1,"1.540,5",,"-1,15%","12,00%","1,00%",1,"12,88%","0,83%",ver,Pasada,"Reinvertido en AgustinaA., Maiquez, JJ 88 y Castelló 63"
PDL - Maldonado,FASE 1,,Madrid,Madrid,Vivienda,PDL,Plataforma,Velzia,Deuda,PDL,,680.000 €,-680.000 €,689.067 €,9.067 €,9.067 €,20/12/2024,29/01/2025,1,"1.540,5",,"-1,25%","12,00%","1,30%",1,"12,85%","1,33%",ver,Pasada,"Reinvertido en Genova23, Arapiles, JJ104, "
Petrer,,,,Alicante,Lote,NPL,Directo,Domoblock,Equity,Cuenta en participación,,500.000 €,-500.000 €,,,77.000 €,,,9,"1.540,3",,,"21,00%","15,00%",,,,,En Estudio,Nos volvieron a preguntar por si re-acticaban el proyecto. Respondimos que interés partir del 25% TIR y no nos volvieron a decir nada.
PDL Jericó,FASE 1,,Madrid,Madrid,Vivienda,PDL,Plataforma,Velzia,Deuda,PDL,,200.000 €,-200.000 €,206.533 €,6.533 €,6.000 €,08/10/2025,15/01/2026,2026-01,"6,0",,"-0,61%","12,00%","3,00%",3,"12,58%","3,27%",ver,Pasada,
PDL Menendez Pidal,FASE 2,Inmoyield 3,Madrid,Madrid,Vivienda,PDL,Plataforma,Velzia,Deuda,PDL,,800.000 €,-800.000 €,827.200 €,27.200 €,0 €,12/11/2025,23/02/2026,2026-02,"4,7",2028-06,"26,18%","12,00%","3,25%",3,"12,58%","3,40%",,Invertido,Cambiado por deuda Napala
Castelló Rugat (18 viv.),FASE 2,Inmoyield 3,Valencia,Castelló de Rugat,Edificio,WIP,Directo,I.E.E.,Equity,Cuenta en participación,1.320.000 €,1.420.000 €,-1.420.000 €,,,363.000 €,24/02/2026,,2026-11,"-3,7",2026-11,"56,00%","40,00%","30,00%",9,,,ver,Invertido,
Edificio Puertollano (6 viv.),FASE 2,Inmoyield 3,Ciudad Real,Puertollano,Edificio,NPL,Directo,Sultan,Equity,Compra crédito,450.000 €,350.000 €,-350.000 €,,,74.340 €,24/03/2026,,2026-09,"-1,6",2026-09,"69,57%","42,50%","16,52%",5,"42,50%","16,52%",ver,Invertido,"15.06 Deudor quiere comprar por 20-25% más que inversión. Tanto si se vende como si no, saldremos antes de otoño de la operación."
Quinta de los Molinos,FASE 1,,Madrid,Madrid,Local Comercial,Flipping,Directo,Re-Aviva,Deuda,Préstamo a tipo fijo,,500.000 €,-500.000 €,572.936 €,72.936 €,58.333 €,23/02/2025,13/03/2026,2025-11,"8,5",,"-1,11%","14,00%","11,70%",13,"13,86%","14,59%",ver,Pasada,
REOs Altea (2 viv),FASE 2,,Alicante,Altea,REO,Flipping,Directo,Brikex,Deuda,Cuenta en participación,,530.000 €,-530.000 €,532.091 €,2.091 €,92.750 €,17/02/2026,4/05/2026,2026-07,"0,4",,"-0,32%","42,00%","17,50%",3,"1,91%","0,39%",ver,Pasada,Adquisición fallida. Liquidada.
Poeta Esteban de Villegas 8,FASE 1,,Madrid,Madrid,Vivienda,Flipping,Plataforma,Velzia,Deuda,Préstamo Participativo,,105.000 €,-105.000 €,108.442 €,3.442 €,4.536 €,06/09/2024,11/12/2024,5,"1.540,4",,"-1,48%","17,43%","4,32%",3,"13,05%","3,28%",ver,Pasada,Reinvertido en Alcántara 4
Ruiz de Alarcon 25,FASE 1,,Madrid,Madrid,Vivienda,Flipping,Plataforma,Velzia,Deuda,Préstamo Participativo,,110.000 €,-110.000 €,118.992 €,8.992 €,12.045 €,02/08/2024,24/07/2025,8,"1.540,3",,"-1,56%","26,11%","10,95%",12,"8,39%","8,17%",,Pasada,Recibido en Caixa (Inm1)
Sancho Dávila 16,FASE 1,,Madrid,Madrid,Vivienda,Flipping,Plataforma,Velzia,Deuda,Préstamo Participativo,,100.000 €,-100.000 €,105.233 €,5.233 €,8.300 €,27/08/2024,11/12/2024,5,"1.540,4",,"-1,51%","19,34%","8,03%",4,"19,20%","5,23%",ver,Pasada,Reinvertido en Alcántara 4
Lofts Getafe (14),FASE 2,Inmoyield 3,Madrid,Getafe,Lofts,Obra nueva,Directo,Make Kubo,Deuda,Préstamo a tipo fijo,,200.000 €,-200.000 €,,,21.800 €,5/11/2025,,2026-08,"-0,7",2026-11,"69,53%","15,00%","10,90%",9,"15,00%","10,90%",ver,Invertido,01.06 Obra al 60%. 80% comercializado. Últimas 3 uds. reservadas para vender con mayor margen al finalziar obra.
Sotogrande (3 Villas),CACI,,,Cádiz,Vivienda,Obra nueva,Directo,Fenext,Deuda,Préstamo participativo,,830.000 €,-830.000 €,,,416.000 €,,,15,"1.540,1",,,"38,00%","50,00%",,,,ver,En Estudio,Posibilidad de 20% fijo anualizado. Segundo rango
Suelo Res. 96 viviendas (Cambrils),CACI,,,Tarragona,Suelo,Obra nueva,Directo,Walmaria,Equity,Cuenta en participación,,1.000.000 €,-1.000.000 €,,,,,,27,"1.539,7",,,"25,00%","56,25%",,,,,En Estudio,Suelo muy bueno en Cambrils
Torredembarra 15 viv.,,,,Tarragona,Edificio,Obra nueva,Directo,Walmaria,Equity,Cuenta en participación,,500.000 €,-500.000 €,,,840.000 €,,,12,"1.540,2",,,,,,,,,En Estudio,
St. Jaume Enveja 11 viv.,FASE 2,Inmoyield 3,Tarragona,San Jaume d´Enveja,Edificio,WIP,Directo,Walmaria,Equity,Cuenta en participación,500.000 €,500.000 €,,,,140.000 €,03.06.2026,,2027-03,"-7,7",2026-11,"27,15%","38,00%","28,00%",9,"38,00%","28,00%",ver,Invertido,
"Pza. Rep. Ecuador, 7",FASE 2,Inmoyield 3,Madrid,Madrid,Vivienda,Flipping,Directo,Domoblock,Deuda,Préstamo participativo,,400.000 €,-400.000 €,,,45.000 €,17/02/2026,,2026-11,"-3,7",2026-11,"57,20%","15,00%","11,25%",9,,,,Invertido,
Valls - 4 viv. esquineras,CACI,,,Tarragona,Edificio,Flipping,Directo,Walmaria,Deuda,Préstamo Participativo,,200.000 €,-200.000 €,,,44.000 €,,,9,"1.540,3",,,"25,00%","22,00%",,,,,En Estudio,Aprobado CI
Villalar 6,FASE 1,,Madrid,Madrid,Vivienda,Flipping,Plataforma,Velzia,Deuda,Préstamo Participativo,,300.000 €,-300.000 €,307.174 €,7.174 €,30.000 €,22/10/2024,04/12/2025,2025-03-,"16,7",,"-1,38%","20,00%","10,00%",14,"2,14%","2,34%",ver,Pasada,
WIP 19 viv. Mora de Ebro,FASE 1,Inmoyield 2,Tarragona,Mora de Ebro,Edificio,WIP,Directo,Walmaria,Equity,Cuenta en participación,,331.850 €,-331.850 €,,,172.562 €,28/01/2026,,2027-01,"-5,7",2026-11,"60,29%","52,00%","52,00%",11,"52,00%","52,00%",ver,Invertido,Devolución de 18.150€ de principal el 23.06.26
Trinidad 67,FASE 2,Inmoyield 3,Málaga,Málaga,Vivienda,Flipping,Directo,Re4M,Deuda,Préstamo Participativo,85.000 €,85.000 €,-85.000 €,,,17.850 €,04/12/2025,,2026-08,"-0,6",2026-10,"73,75%","36,00%","21,00%",8,"36,00%","21,00%",ver,Invertido,"15.06 Se ha tramitado la licencia para uso turístico, lo que elevará el valor del activo. Obra iniciada: Duración estimada 4 meses."
WIP 19 viv. Mora de Ebro,FASE 2,Inmoyield 2,Tarragona,Mora de Ebro,Edificio,WIP,Directo,Walmaria,Equity,Cuenta en participación,,150.000 €,-150.000 €,,,78.000 €,12/3/2026,,2027-01,"-5,7",2026-11,"52,99%","52,00%","52,00%",12,"52,00%","52,00%",ver,Invertido,